# 8a84199e-63c8-4b04-a141-42c5e8e0dc82
# 216c0333e5fcb3f8600ca28e6aa7276b99a75135
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 11.0772890; 5.3868850; 1.0889315; 0.5467096; 4.0634396; 0.9361476
0.1997697; 10.8957603; 5.4700700; 1.1908921; 0.4751271; 4.1092054; 1.9395402
0.3995395; 10.7070779; 5.5354767; 1.2821523; 0.4396668; 4.2024388; 2.1958713
0.5993092; 10.5133953; 5.5841630; 1.3653607; 0.3937019; 4.3055580; 2.6602678
0.7990789; 10.3164610; 5.6174114; 1.4406500; 0.3610823; 4.4272690; 2.8788041
0.9988486; 10.1176317; 5.6363721; 1.5098184; 0.3318301; 4.5553163; 3.0679339
1.1986184; 9.9179738; 5.6421301; 1.5731126; 0.3020198; 4.6879279; 3.3135864
1.3983881; 9.7183206; 5.6358220; 1.6307782; 0.2757720; 4.8270670; 3.5223751
1.5981578; 9.5193101; 5.6185273; 1.6833451; 0.2505968; 4.9707046; 3.7531593
1.7979275; 9.3214089; 5.5912934; 1.7309278; 0.2258088; 5.1193202; 4.0236654
1.9976973; 9.1249346; 5.5551622; 1.7735692; 0.2010307; 5.2739978; 4.3462715
2.1974670; 8.9300700; 5.5111796; 1.8111087; 0.1744248; 5.4361346; 4.7795517
2.3972367; 8.7368549; 5.4604423; 1.8431132; 0.1456307; 5.6090265; 5.2298159
2.5970065; 8.5451974; 5.4041097; 1.8692225; 0.1155705; 5.7922963; 5.2251546
2.7967762; 8.3548926; 5.3433776; 1.8891122; 0.0831138; 5.9697866; 5.2204974
2.9965459; 8.1656211; 5.2795029; 1.9022592; 0.0481227; 6.1419986; 5.2158444
3.1963156; 7.9769695; 5.2138157; 1.9082442; 0.0115980; 6.3093646; 5.2111955
3.3960854; 7.7884709; 5.1476942; 1.9068444; -0.0257085; 6.4722608; -6.9760274
3.5958551; 7.5996343; 5.0825485; 1.8978459; -0.0646478; 6.2532361; -6.2907961
3.7956248; 7.4099718; 5.0198453; 1.8810352; -0.1036042; 6.0489289; -5.1563209
3.9953945; 7.2190546; 4.9610815; 1.8564514; -0.1425078; 5.8761712; -4.1121119
4.1951643; 7.0265436; 4.9077755; 1.8241106; -0.1812678; 5.7346697; -3.2179596
4.3949340; 6.8322369; 4.8614601; 1.7842991; -0.2168474; 5.6214531; -2.2615690
4.5947037; 6.6361087; 4.8236154; 1.7372697; -0.2543204; 5.5405008; -1.3031456
4.7944734; 6.4383192; 4.7957716; 1.6828361; -0.2904305; 5.4933133; -0.0672582
4.9942432; 6.2392448; 4.7794697; 1.6207806; -0.3316792; 5.4908668; -0.0672582
5.1940129; 6.0395304; 4.7760939; 1.5552136; -0.3187325; 5.4884193; 0.3317045
5.3937826; 5.8399954; 4.7853310; 1.4952169; -0.2798180; 5.5004795; 1.4665362
5.5935524; 5.6412841; 4.8057074; 1.4433422; -0.2396710; 5.5534867; 2.5394536
5.7933221; 5.4437720; 4.8355697; 1.3994836; -0.1993751; 5.6440966; 3.5776761
5.9930918; 5.2476020; 4.8732716; 1.3637175; -0.1586358; 5.7693369; 4.6455139
6.1928615; 5.0527220; 4.9171683; 1.3361491; -0.1172855; 5.9280110; 5.2216062
6.3926313; 4.8589212; 4.9656170; 1.3168974; -0.0753881; 6.1014386; 5.2169522
6.5924010; 4.6658705; 5.0169778; 1.3060513; -0.0331663; 6.2699227; -2.5237811
6.7921707; 4.4731637; 5.0696169; 1.3036448; 0.0090651; 6.1889887; -8.2956901
6.9919404; 4.2803627; 5.1219084; 1.3096438; 0.0509405; 5.9151606; -7.1108787
7.1917102; 4.0870415; 5.1722382; 1.3239404; 0.0921001; 5.6699249; -6.1394740
7.3914799; 3.8928303; 5.2190068; 1.3463597; 0.1322364; 5.4493198; -5.3451861
7.5912496; 3.6974555; 5.2606343; 1.3766740; 0.1711315; 5.2497118; -4.6959138
7.7910194; 3.5007766; 5.2955650; 1.4146289; 0.2087499; 5.0678665; -4.1665050
7.9907891; 3.3028173; 5.3222718; 1.4599695; 0.2451050; 4.9008762; -3.7236811
8.1905588; 3.1037927; 5.3392610; 1.5124967; 0.2807966; 4.7466652; -3.3556867
8.3903285; 2.9041335; 5.3450703; 1.5720807; 0.3157882; 4.6032707; -3.0244208
8.5900983; 2.7045101; 5.3382808; 1.6386901; 0.3513288; 4.4700923; -2.7060558
8.7898680; 2.5058618; 5.3175071; 1.7125175; 0.3881426; 4.3474762; -2.5057340
8.9896377; 2.3094221; 5.2814347; 1.7933592; 0.4209187; 4.2307694; -2.2676829
9.1894074; 2.1167181; 5.2289781; 1.8809906; 0.4572502; 4.1223029; -1.9312870
9.3891772; 1.9296259; 5.1591482; 1.9764673; 0.4996315; 4.0276241; -1.3777880
9.5889469; 1.7504570; 5.0709956; 2.0813675; 0.5524229; 3.9586961; -0.5451576
9.7887166; 1.5821199; 4.9636375; 2.1977205; 0.6140576; 3.9310893; -0.0344431
9.9884863; 1.4281071; 4.8366224; 2.3241138; 0.6476809; 3.9293386; -0.0344431
10.1882561; 1.2915263; 4.6910215; 2.4507131; 0.6110862; 3.9275871; 0.5390087
10.3880258; 1.1736542; 4.5298716; 2.5676540; 0.5589563; 3.9549078; 1.2223059
10.5877955; 1.0744827; 4.3565720; 2.6743528; 0.5097831; 4.0161742; 1.7413925
10.7875653; 0.9934454; 4.1740740; 2.7714888; 0.4629534; 4.1018789; 2.1730846
10.9873350; 0.9296834; 3.9848339; 2.8607369; 0.4323537; 4.2063812; 2.3106167
11.1871047; 0.8824850; 3.7907937; 2.9442989; 0.4042272; 4.3147220; 2.4330425
11.3868744; 0.8513707; 3.5935192; 3.0269403; 0.4281351; 4.4259374; 1.5695955
11.5866442; 0.8369973; 3.3943217; 3.1117640; 0.4184468; 4.4962248; 1.4955661
11.7864139; 0.8392841; 3.1946116; -3.0893895; 0.4031207; 4.5621897; 1.5631867
11.9861836; 0.8575816; 2.9957348; -3.0110944; 0.3800562; 4.6301328; 1.8044823
12.1859533; 0.8910236; 2.7988265; -2.9357031; 0.3767848; 4.7073444; 1.6013576
12.3857231; 0.9391029; 2.6049749; -2.8617511; 0.3626823; 4.7748191; 1.6803841
12.5854928; 1.0011341; 2.4151235; -2.7900339; 0.3562511; 4.8446132; 1.5863313
12.7852625; 1.0764912; 2.2301554; -2.7196859; 0.3479886; 4.9095905; 1.5582840
12.9850323; 1.1645364; 2.0508780; -2.6505974; 0.3441971; 4.9725924; 1.4339892
13.1848020; 1.2646823; 1.8780678; -2.5823065; 0.3395856; 5.0298718; 1.3521785
13.3845717; 1.3762525; 1.7124008; -2.5160699; 0.3230442; 5.0832921; 1.5949403
13.5843414; 1.4981789; 1.5541992; -2.4551585; 0.2855559; 5.1455904; 2.3802433
13.7841112; 1.6291494; 1.4033923; -2.3973911; 0.2953837; 5.2371845; 1.8370001
13.9838809; 1.7687012; 1.2604868; -2.3390084; 0.2883300; 5.3067933; 1.8172107
14.1836506; 1.9162132; 1.1258108; -2.2830375; 0.2716726; 5.3747654; 2.0874486
14.3834203; 2.0708413; 0.9993630; -2.2298321; 0.2614923; 5.4517998; 2.1615885
14.5831901; 2.2318564; 0.8811530; -2.1786968; 0.2504531; 5.5304395; 2.2714717
14.7829598; 2.3985875; 0.7711483; -2.1296464; 0.2408040; 5.6118895; 2.3460309
14.9827295; 2.5704173; 0.6692880; -2.0824655; 0.2316443; 5.6947902; 2.4152803
15.1824992; 2.7467737; 0.5754803; -2.0371697; 0.2218626; 5.7788957; 2.5162574
15.3822690; 2.9271141; 0.4895762; -1.9938424; 0.2119624; 5.8652348; 2.6315446
15.5820387; 3.1109296; 0.4113806; -1.9525119; 0.2018453; 5.9541906; 2.7650147
15.7818084; 3.2977489; 0.3406574; -1.9132026; 0.1917378; 6.0462482; 2.9090648
15.9815782; 3.4871404; 0.2771394; -1.8759084; 0.1816618; 6.1416125; 3.0636817
16.1813479; 3.6787129; 0.2205343; -1.8406208; 0.1716450; 6.2404700; 3.2286744
16.3811176; 3.8721143; 0.1705295; -1.8073324; 0.1616368; 6.3429842; 3.4070411
16.5808873; 4.0670300; 0.1267943; -1.7760429; 0.1516277; 6.4493950; 3.6003019
16.7806571; 4.2631812; 0.0889803; -1.7467824; 0.1412914; 6.5599663; 3.8237850
16.9804268; 4.4603221; 0.0567151; -1.7196210; 0.1306126; 6.6753960; 4.0803764
17.1801965; 4.6582388; 0.0296063; -1.6945622; 0.1203002; 6.7964095; 4.3401456
17.3799662; 4.8567500; 0.0072583; -1.6716034; 0.1095037; 6.9228059; 4.6450946
17.5797360; 5.0557031; -0.0107437; -1.6508355; 0.0983893; 7.0555751; 4.9910182
17.7795057; 5.2549719; -0.0248353; -1.6323473; 0.0866496; 7.1955020; 5.1844990
17.9792754; 5.4544555; -0.0354758; -1.6162192; 0.0748110; 7.3380284; 5.1798781
18.1790452; 5.6540761; -0.0431387; -1.6025351; 0.0621099; 7.4777153; 5.1752612
18.3788149; 5.8537770; -0.0483220; -1.5913681; 0.0497196; 7.6147192; 5.1706485
18.5785846; 6.0535198; -0.0515149; -1.5825604; 0.0385547; 7.7491823; 5.1660399
18.7783543; 6.2532820; -0.0530929; -1.5747174; 0.0410533; 7.8812348; 5.1614355
18.9781241; 6.4530503; -0.0529957; -1.5655487; 0.0512425; 8.0109962; -0.7496152
19.1778938; 6.6528072; -0.0508681; -1.5544759; 0.0594232; 7.9922812; -5.9028815
19.3776635; 6.8525245; -0.0463612; -1.5416755; 0.0688310; 7.8433491; -5.7522050
19.5774332; 7.0521615; -0.0391340; -1.5273827; 0.0739600; 7.6954462; -5.4633923
19.7772030; 7.2516688; -0.0289406; -1.5118476; 0.0817687; 7.5522878; -5.1073620
19.9769727; 7.4509819; -0.0154817; -1.4945802; 0.0911936; 7.4159597; -4.8505807
20.1767424; 7.6500170; 0.0015974; -1.4755460; 0.0992826; 7.2841239; -4.5148782
20.3765121; 7.8486726; 0.0226320; -1.4547288; 0.1092480; 7.1592310; -4.2385918
20.5762819; 8.0468218; 0.0479915; -1.4319779; 0.1184794; 7.0399647; -4.0323831
20.7760516; 8.2443156; 0.0780275; -1.4074850; 0.1266858; 6.9245944; -3.8682703
20.9758213; 8.4409859; 0.1130484; -1.3814082; 0.1343674; 6.8120834; -3.6520840
21.1755911; 8.6366433; 0.1533434; -1.3536659; 0.1434672; 6.7041278; -3.4019166
21.3753608; 8.8310633; 0.1992337; -1.3239985; 0.1536112; 6.6019792; -3.2804323
21.5751305; 9.0239870; 0.2510519; -1.2925445; 0.1611780; 6.5019587; -3.1973336
21.7749002; 9.2151430; 0.3090508; -1.2596495; 0.1681576; 6.4029686; -3.0545722
21.9746700; 9.4042392; 0.3734462; -1.2252011; 0.1768374; 6.3069473; -2.9247518
22.1744397; 9.5909425; 0.4444786; -1.1890134; 0.1854845; 6.2136165; -2.7954314
22.3742094; 9.7748849; 0.5223791; -1.1510748; 0.1943929; 6.1230830; -2.6729790
22.5739791; 9.9556634; 0.6073615; -1.1113476; 0.2033889; 6.0352452; -2.5558388
22.7737489; 10.1328397; 0.6996161; -1.0698120; 0.2124999; 5.9500442; -2.5126960
22.9735186; 10.3059460; 0.7992961; -1.0266200; 0.2198907; 5.8650750; -2.4550645
23.1732883; 10.4745054; 0.9064842; -0.9818936; 0.2280040; 5.7808486; -2.1326272
23.3730581; 10.6379819; 1.0212713; -0.9348098; 0.2438122; 5.7066752; -1.9508378
23.5728278; 10.7956920; 1.1438573; -0.8849288; 0.2554550; 5.6379699; -1.9495209
23.7725975; 10.9469657; 1.2743012; -0.8332847; 0.2614386; 5.5684643; -1.9374229
23.9723672; 11.0912501; 1.4124348; -0.7810912; 0.2608849; 5.4985196; -1.8301287
24.1721370; 11.2280571; 1.5579743; -0.7272361; 0.2791521; 5.4316212; -1.6985187
24.3719067; 11.3565770; 1.7108780; -0.6703434; 0.2902379; 5.3687879; -1.6822243
24.5716764; 11.4760631; 1.8709395; -0.6121021; 0.2926627; 5.3058240; -1.8130442
24.7714461; 11.5859808; 2.0377163; -0.5531915; 0.2973380; 5.2371162; -1.8916333
24.9712159; 11.6858082; 2.2107207; -0.4933708; 0.3016761; 5.1644558; -2.0073137
25.1709856; 11.7750181; 2.3894304; -0.4323718; 0.3092528; 5.0862169; -2.0488266
25.3707553; 11.8530271; 2.5733042; -0.3698527; 0.3168191; 5.0050990; -2.1143091
25.5705250; 11.9192408; 2.7617452; -0.3056290; 0.3263797; 4.9199864; -2.1502917
25.7702948; 11.9730306; 2.9540992; -0.2393537; 0.3373649; 4.8318878; -2.1694449
25.9700645; 12.0137343; 3.1496383; -0.1706677; 0.3505595; 4.7413458; -2.1569531
26.1698342; 12.0406523; 3.3475436; -0.0992206; 0.3650229; 4.6495777; -2.1175241
26.3696040; 12.0530717; 3.5468809; -0.0246700; 0.3816970; 4.5576900; -2.0644272
26.5693737; 12.0502664; 3.7465806; 0.0533750; 0.4000494; 4.4662868; -1.9198355
26.7691434; 12.0315035; 3.9454112; 0.1355825; 0.4234969; 4.3795740; -1.8154290
26.9689131; 11.9960260; 4.1419422; 0.2223476; 0.4457108; 4.2959670; -1.5446408
27.1686829; 11.9431751; 4.3345217; 0.3143562; 0.4762341; 4.2235279; -1.3567304
27.3684526; 11.8723171; 4.5212185; 0.4119793; 0.5019538; 4.1588605; -0.9892978
27.5682223; 11.7831012; 4.6998609; 0.5154887; 0.5353814; 4.1110652; -0.5342355
27.7679920; 11.6753488; 4.8679598; 0.6256999; 0.5694707; 4.0850225; -0.4391926
27.9677618; 11.5494724; 5.0229469; 0.7380758; 0.5558571; 4.0634879; -0.0368023
28.1675315; 11.4069024; 5.1627201; 0.8542196; 0.6061624; 4.0616782; -0.0368023
28.3673012; 11.2487300; 5.2845460; 0.9745566; 0.6000663; 4.0598677; 0.0726222
28.5670710; 11.0772890; 5.3868850; 1.0889315; 0.5467096; 4.0634396; 0.9361476
